pref,Prefecture,Party,Year,Votes,Vote.Total,Actual.Voters,Eligible.Voters,vshare
32,Shimane,3,2005,62375,446822,458984,605783,0.139596975977011
32,Shimane,20,2005,74199,446822,458984,605783,0.166059415158609
32,Shimane,2,2005,100045,446822,458984,605783,0.223903478342606
32,Shimane,1,2005,161516,446822,458984,605783,0.361477277305057
22,Shizuoka,21,2005,75076,2046876,2096997,3049341,0.036678333225853
22,Shizuoka,5,2005,79886,2046876,2096997,3049341,0.039028255741921
22,Shizuoka,4,2005,123888,2046876,2096997,3049341,0.06052540554484
22,Shizuoka,3,2005,259131,2046876,2096997,3049341,0.126598289295492
22,Shizuoka,2,2005,687837,2046876,2096997,3049341,0.336042339643437
22,Shizuoka,1,2005,821058,2046876,2096997,3049341,0.401127376548457
9,Tochigi,21,2005,41777,1028765,1059159,1615810,0.040608885411148
9,Tochigi,5,2005,41953,1028765,1059159,1615810,0.040779964326158
9,Tochigi,4,2005,44009,1028765,1059159,1615810,0.042778477106045
9,Tochigi,3,2005,127876,1028765,1059159,1615810,0.124300496226057
9,Tochigi,2,2005,332479,1028765,1059159,1615810,0.323182651042755
9,Tochigi,1,2005,440671,1028765,1059159,1615810,0.428349525887836
36,Tokushima,5,2005,15943,433682,454078,668836,0.036761959223579
36,Tokushima,4,2005,34620,433682,454078,668836,0.079828076793595
36,Tokushima,3,2005,59992,433682,454078,668836,0.1383317730503
36,Tokushima,1,2005,158575,433682,454078,668836,0.365648101604401
36,Tokushima,2,2005,164552,433682,454078,668836,0.379430089328125
13,Tokyo,21,2005,290027,6624594,6722033,10260943,0.043780343368967
13,Tokyo,5,2005,300782,6624594,6722033,10260943,0.045403839088101
13,Tokyo,4,2005,586017,6624594,6722033,10260943,0.088460817372355
13,Tokyo,3,2005,820126,6624594,6722033,10260943,0.123800190623003
13,Tokyo,2,2005,1962225,6624594,6722033,10260943,0.296203057877962
13,Tokyo,1,2005,2665417,6624594,6722033,10260943,0.402351751669612
31,Tottori,5,2005,20433,346566,359202,493299,0.058958466785547
31,Tottori,20,2005,21381,346566,359202,493299,0.061693876491058
31,Tottori,4,2005,22258,346566,359202,493299,0.064224419013983
31,Tottori,3,2005,62325,346566,359202,493299,0.179835875417669
31,Tottori,2,2005,100287,346566,359202,493299,0.289373452675681
31,Tottori,1,2005,119882,346566,359202,493299,0.345913909616062
16,Toyama,4,2005,25211,628316,648627,912092,0.040124714315727
16,Toyama,5,2005,41234,628316,648627,912092,0.065626213561329
16,Toyama,3,2005,47301,628316,648627,912092,0.075282182850668
16,Toyama,20,2005,111103,628316,648627,912092,0.176826628639092
16,Toyama,2,2005,155921,628316,648627,912092,0.248156978335742
16,Toyama,1,2005,247546,628316,648627,912092,0.393983282297443
30,Wakayama,21,2005,21105,573998,597828,863866,0.036768420795891
30,Wakayama,5,2005,21258,573998,597828,863866,0.03703497224729
30,Wakayama,4,2005,48549,573998,597828,863866,0.084580434078168
30,Wakayama,3,2005,108595,573998,597828,863866,0.189190554670922
30,Wakayama,2,2005,164897,573998,597828,863866,0.287278004452977
30,Wakayama,1,2005,209594,573998,597828,863866,0.365147613754752
6,Yamagata,20,2005,27715,699048,727104,985368,0.03964677675925
6,Yamagata,4,2005,35912,699048,727104,985368,0.051372724047562
6,Yamagata,5,2005,58981,699048,727104,985368,0.084373319142605
6,Yamagata,3,2005,96035,699048,727104,985368,0.137379693526053
6,Yamagata,2,2005,189928,699048,727104,985368,0.271695219784621
6,Yamagata,1,2005,290477,699048,727104,985368,0.415532266739909
35,Yamaguchi,5,2005,31858,830414,849981,1231355,0.038363996753427
35,Yamaguchi,20,2005,38983,830414,849981,1231355,0.046944054411414
35,Yamaguchi,4,2005,54350,830414,849981,1231355,0.065449281924438
35,Yamaguchi,3,2005,125157,830414,849981,1231355,0.150716389656244
35,Yamaguchi,2,2005,233036,830414,849981,1231355,0.280626290019195
35,Yamaguchi,1,2005,347030,830414,849981,1231355,0.417899987235283
19,Yamanashi,21,2005,23010,486294,503043,705933,0.047317055114807
19,Yamanashi,5,2005,24489,486294,503043,705933,0.050358425150218
19,Yamanashi,4,2005,32156,486294,503043,705933,0.066124607747577
19,Yamanashi,3,2005,60810,486294,503043,705933,0.125047810583721
19,Yamanashi,2,2005,153043,486294,503043,705933,0.314712910297063
19,Yamanashi,1,2005,192786,486294,503043,705933,0.396439191106615
23,Aichi,98,2009,29045,3966562,4046666,5815368,0.00732246212211
23,Aichi,21,2009,40142,3966562,4046666,5815368,0.010120098967317
23,Aichi,20,2009,59592,3966562,4046666,5815368,0.015023589698081
23,Aichi,5,2009,130114,3966562,4046666,5815368,0.032802714290108
23,Aichi,24,2009,185966,3966562,4046666,5815368,0.046883421965924
23,Aichi,4,2009,250890,3966562,4046666,5815368,0.063251248814465
23,Aichi,3,2009,428720,3966562,4046666,5815368,0.108083524220723
23,Aichi,1,2009,958864,3966562,4046666,5815368,0.241736798769312
23,Aichi,2,2009,1883229,3966562,4046666,5815368,0.47477614115196
5,Akita,98,2009,4033,659510,683253,932585,0.006115146093312
5,Akita,24,2009,29882,659510,683253,932585,0.045309396370032
5,Akita,4,2009,37108,659510,683253,932585,0.056266015678307
5,Akita,5,2009,39461,659510,683253,932585,0.05983381601492
5,Akita,3,2009,65106,659510,683253,932585,0.09871874573547
5,Akita,1,2009,209978,659510,683253,932585,0.318384861488074
5,Akita,2,2009,273942,659510,683253,932585,0.415372018619884
2,Aomori,24,2009,5823,771270,796593,1163132,0.007549885254191
2,Aomori,24,2009,30122,771270,796593,1163132,0.039055065022625
2,Aomori,5,2009,37726,771270,796593,1163132,0.048914128644962
2,Aomori,4,2009,48912,771270,796593,1163132,0.063417480259831
2,Aomori,3,2009,77853,771270,796593,1163132,0.100941304601501
2,Aomori,1,2009,231934,771270,796593,1163132,0.300716999235028
2,Aomori,2,2009,338900,771270,796593,1163132,0.439405136981861
12,Chiba,98,2009,17023,3204091,3260854,5028690,0.005312895295421
12,Chiba,21,2009,31054,3204091,3260854,5028690,0.009691984403689
12,Chiba,20,2009,41309,3204091,3260854,5028690,0.012892580142075
12,Chiba,5,2009,127004,3204091,3260854,5028690,0.039638075198239
12,Chiba,24,2009,212022,3204091,3260854,5028690,0.0661722778785
12,Chiba,4,2009,218817,3204091,3260854,5028690,0.068293004162491
12,Chiba,3,2009,340276,3204091,3260854,5028690,0.106200479324713
12,Chiba,1,2009,858313,3204091,3260854,5028690,0.267880344222433
12,Chiba,2,2009,1358273,3204091,3260854,5028690,0.42391835937244
38,Ehime,98,2009,7073,827377,851259,1200601,0.008548702707472
38,Ehime,5,2009,29780,827377,851259,1200601,0.035993265464232
38,Ehime,4,2009,41272,827377,851259,1200601,0.049882943325715
38,Ehime,3,2009,101690,827377,851259,1200601,0.122906486402208
38,Ehime,1,2009,278611,827377,851259,1200601,0.336740083420255
38,Ehime,2,2009,368951,827377,851259,1200601,0.445928518680118
18,Fukui,21,2009,3864,470195,484798,654338,0.008217867055158
18,Fukui,98,2009,4077,470195,484798,654338,0.008670870596242
18,Fukui,5,2009,11752,470195,484798,654338,0.024993885515584
18,Fukui,20,2009,15069,470195,484798,654338,0.032048405448803
18,Fukui,4,2009,19845,470195,484798,654338,0.042205893299589
18,Fukui,3,2009,39133,470195,484798,654338,0.083227171705356
18,Fukui,1,2009,181681,470195,484798,654338,0.386395006327162
18,Fukui,2,2009,194774,470195,484798,654338,0.414240900052106
40,Fukuoka,98,2009,17741,2750376,2811127,4087900,0.006450390782933
40,Fukuoka,20,2009,44801,2750376,2811127,4087900,0.016289045570497
40,Fukuoka,24,2009,102560,2750376,2811127,4087900,0.03728944697016
40,Fukuoka,5,2009,124084,2750376,2811127,4087900,0.045115286055434
40,Fukuoka,4,2009,183564,2750376,2811127,4087900,0.0667414200822
40,Fukuoka,3,2009,456946,2750376,2811127,4087900,0.1661394660221
40,Fukuoka,1,2009,788703,2750376,2811127,4087900,0.286761882738942
40,Fukuoka,2,2009,1031977,2750376,2811127,4087900,0.375213061777735
7,Fukushima,98,2009,8212,1175124,1210931,1663013,0.006988198692223
7,Fukushima,5,2009,60682,1175124,1210931,1663013,0.051638805777093
7,Fukushima,4,2009,68423,1175124,1210931,1663013,0.058226195703602
7,Fukushima,24,2009,70090,1175124,1210931,1663013,0.059644769403059
7,Fukushima,3,2009,112139,1175124,1210931,1663013,0.09542737617477
7,Fukushima,1,2009,323404,1175124,1210931,1663013,0.27520840353869
7,Fukushima,2,2009,532174,1175124,1210931,1663013,0.452866250710563
21,Gifu,98,2009,8629,1201900,1234687,1689575,0.007179465845744
21,Gifu,21,2009,9700,1201900,1234687,1689575,0.008070554954655
21,Gifu,20,2009,25680,1201900,1234687,1689575,0.021366170230468
21,Gifu,5,2009,30869,1201900,1234687,1689575,0.025683501123222
21,Gifu,24,2009,47975,1201900,1234687,1689575,0.039915966386555
21,Gifu,4,2009,64480,1201900,1234687,1689575,0.053648390049089
21,Gifu,3,2009,121895,1201900,1234687,1689575,0.101418587236875
21,Gifu,1,2009,355453,1201900,1234687,1689575,0.295742574257426
21,Gifu,2,2009,537219,1201900,1234687,1689575,0.446974789915966
10,Gunma,98,2009,7753,1093853,1124137,1628000,0.007087789675578
10,Gunma,21,2009,8702,1093853,1124137,1628000,0.007955365117616
10,Gunma,20,2009,14866,1093853,1124137,1628000,0.013590491592563
10,Gunma,5,2009,49801,1093853,1124137,1628000,0.045528055415124
10,Gunma,24,2009,56515,1093853,1124137,1628000,0.051665991682612
10,Gunma,4,2009,63048,1093853,1124137,1628000,0.057638457818372
10,Gunma,3,2009,114706,1093853,1124137,1628000,0.104864181933039
10,Gunma,1,2009,347040,1093853,1124137,1628000,0.317263837096941
10,Gunma,2,2009,431422,1093853,1124137,1628000,0.394405829668155
34,Hiroshima,98,2009,11511,1576961,1611802,2325383,0.007299482992921
34,Hiroshima,5,2009,70020,1576961,1611802,2325383,0.044401859018708
34,Hiroshima,4,2009,81875,1576961,1611802,2325383,0.051919483107065
34,Hiroshima,20,2009,93921,1576961,1611802,2325383,0.059558226233876
34,Hiroshima,3,2009,197128,1576961,1611802,2325383,0.125004993782345
34,Hiroshima,1,2009,459114,1576961,1611802,2325383,0.291138461889673
34,Hiroshima,2,2009,663392,1576961,1611802,2325383,0.420677492975413
1,Hokkaido,98,2009,27675,3324803,3391203,4605761,0.008323801440266
1,Hokkaido,5,2009,113562,3324803,3391203,4605761,0.034156008641715
1,Hokkaido,4,2009,241345,3324803,3391203,4605761,0.072589263183413
1,Hokkaido,3,2009,354886,3324803,3391203,4605761,0.106738955661433
1,Hokkaido,22,2009,433122,3324803,3391203,4605761,0.130269973890182
1,Hokkaido,1,2009,805895,3324803,3391203,4605761,0.24238879717084
1,Hokkaido,2,2009,1348318,3324803,3391203,4605761,0.405533200012151
28,Hyogo,98,2009,32785,2972375,3038180,4538660,0.011029900332226
28,Hyogo,21,2009,48532,2972375,3038180,4538660,0.016327684091005
28,Hyogo,20,2009,55526,2972375,3038180,4538660,0.018680684637706
28,Hyogo,24,2009,124641,2972375,3038180,4538660,0.041933134278145
28,Hyogo,5,2009,135987,2972375,3038180,4538660,0.045750283863914
28,Hyogo,4,2009,231680,2972375,3038180,4538660,0.07794440472686
28,Hyogo,3,2009,364853,2972375,3038180,4538660,0.122747970898692
28,Hyogo,1,2009,698011,2972375,3038180,4538660,0.234832751587535
28,Hyogo,2,2009,1280360,2972375,3038180,4538660,0.430753185583919
8,Ibaraki,21,2009,11820,1589721,1636828,2421480,0.007435266943067
8,Ibaraki,98,2009,12383,1589721,1636828,2421480,0.007789417136718
8,Ibaraki,20,2009,21363,1589721,1636828,2421480,0.01343820708162
8,Ibaraki,5,2009,54122,1589721,1636828,2421480,0.034044967638976
8,Ibaraki,4,2009,72884,1589721,1636828,2421480,0.045847038568403
8,Ibaraki,24,2009,92472,1589721,1636828,2421480,0.05816869752617
8,Ibaraki,3,2009,188785,1589721,1636828,2421480,0.118753542288238
8,Ibaraki,1,2009,451726,1589721,1636828,2421480,0.284154263546874
8,Ibaraki,2,2009,684166,1589721,1636828,2421480,0.430368599269935
17,Ishikawa,98,2009,5130,693863,714401,944199,0.007393390337862
17,Ishikawa,21,2009,6135,693863,714401,944199,0.00884180306487
17,Ishikawa,5,2009,19647,693863,714401,944199,0.028315387907988
17,Ishikawa,20,2009,29510,693863,714401,944199,0.042530009526376
17,Ishikawa,4,2009,29814,693863,714401,944199,0.042968136361213
17,Ishikawa,3,2009,52157,693863,714401,944199,0.075169017514985
17,Ishikawa,1,2009,245813,693863,714401,944199,0.354267340959238
17,Ishikawa,2,2009,305657,693863,714401,944199,0.440514914327468
3,Iwate,98,2009,5143,784897,815222,1110733,0.006552452105181
3,Iwate,24,2009,25275,784897,815222,1110733,0.032201677417547
3,Iwate,4,2009,47647,784897,815222,1110733,0.060704780372457
3,Iwate,3,2009,54299,784897,815222,1110733,0.069179777728798
3,Iwate,5,2009,58632,784897,815222,1110733,0.074700247293594
3,Iwate,1,2009,173030,784897,815222,1110733,0.220449307361348
3,Iwate,2,2009,420871,784897,815222,1110733,0.536211757721077
37,Kagawa,98,2009,4534,557164,584176,830735,0.008137639904947
37,Kagawa,4,2009,30215,557164,584176,830735,0.05422999332333
37,Kagawa,5,2009,36408,557164,584176,830735,0.065345212540652
37,Kagawa,3,2009,65479,557164,584176,830735,0.11752195044906
37,Kagawa,1,2009,191415,557164,584176,830735,0.343552347244258
37,Kagawa,2,2009,229113,557164,584176,830735,0.411212856537752
46,Kagoshima,98,2009,5890,978272,1002450,1402052,0.006020820385333
46,Kagoshima,24,2009,28481,978272,1002450,1402052,0.029113579863269
46,Kagoshima,4,2009,34780,978272,1002450,1402052,0.035552484380622
46,Kagoshima,20,2009,36768,978272,1002450,1402052,0.037584639036996
46,Kagoshima,5,2009,41557,978272,1002450,1402052,0.042480005560826
46,Kagoshima,3,2009,133770,978272,1002450,1402052,0.136741110856694
46,Kagoshima,1,2009,328248,978272,1002450,1402052,0.335538582316575
46,Kagoshima,2,2009,368778,978272,1002450,1402052,0.376968777599686
14,Kanagawa,98,2009,23942,4883149,4966449,7276981,0.004902983709897
14,Kanagawa,21,2009,44875,4883149,4966449,7276981,0.009189766685391
14,Kanagawa,20,2009,53358,4883149,4966449,7276981,0.010926965365996
14,Kanagawa,5,2009,219049,4883149,4966449,7276981,0.044858143792049
14,Kanagawa,4,2009,349914,4883149,4966449,7276981,0.071657448912577
14,Kanagawa,24,2009,372060,4883149,4966449,7276981,0.076192637169171
14,Kanagawa,3,2009,469628,4883149,4966449,7276981,0.09617318660561
14,Kanagawa,1,2009,1238374,4883149,4966449,7276981,0.253601518200653
14,Kanagawa,2,2009,2111949,4883149,4966449,7276981,0.432497349558656
39,Kochi,98,2009,2966,417976,434945,643154,0.007096101211553
39,Kochi,5,2009,16611,417976,434945,643154,0.039741516259307
39,Kochi,4,2009,49066,417976,434945,643154,0.117389515187475
39,Kochi,3,2009,73494,417976,434945,643154,0.175833062185389
39,Kochi,1,2009,108487,417976,434945,643154,0.259553180086895
39,Kochi,2,2009,167352,417976,434945,643154,0.400386625069382
43,Kumamoto,98,2009,7419,1028586,1068192,1489221,0.007212814485128
43,Kumamoto,24,2009,29300,1028586,1068192,1489221,0.028485707563587
43,Kumamoto,20,2009,34996,1028586,1068192,1489221,0.034023406890625
43,Kumamoto,4,2009,38589,1028586,1068192,1489221,0.037516551848849
43,Kumamoto,5,2009,41390,1028586,1068192,1489221,0.040239707715252
43,Kumamoto,3,2009,135987,1028586,1068192,1489221,0.132207710390769
43,Kumamoto,1,2009,326859,1028586,1068192,1489221,0.317775081519678
43,Kumamoto,2,2009,414046,1028586,1068192,1489221,0.402539019586111
26,Kyoto,98,2009,13883,1398710,1431692,2099450,0.009925574279157
26,Kyoto,21,2009,14276,1398710,1431692,2099450,0.01020654746159
26,Kyoto,20,2009,18342,1398710,1431692,2099450,0.013113511735814
26,Kyoto,5,2009,49740,1398710,1431692,2099450,0.035561338662053
26,Kyoto,24,2009,53635,1398710,1431692,2099450,0.038346047429417
26,Kyoto,3,2009,142636,1398710,1431692,2099450,0.101976821499811
26,Kyoto,4,2009,195161,1398710,1431692,2099450,0.139529280551365
26,Kyoto,1,2009,323295,1398710,1431692,2099450,0.231137977136075
26,Kyoto,2,2009,587742,1398710,1431692,2099450,0.420202901244718
24,Mie,21,2009,6917,1062147,1088711,1504596,0.006512281256738
24,Mie,98,2009,7012,1062147,1088711,1504596,0.00660172273706
24,Mie,20,2009,16021,1062147,1088711,1504596,0.015083599539423
24,Mie,5,2009,33618,1062147,1088711,1504596,0.031650986162932
24,Mie,24,2009,36440,1062147,1088711,1504596,0.034307868873141
24,Mie,4,2009,55108,1062147,1088711,1504596,0.051883590501127
24,Mie,3,2009,119733,1062147,1088711,1504596,0.112727334352025
24,Mie,1,2009,276997,1062147,1088711,1504596,0.260789702366998
24,Mie,2,2009,510301,1062147,1088711,1504596,0.480442914210557
4,Miyagi,98,2009,7911,1257324,1282570,1904700,0.006291934298558
4,Miyagi,24,2009,53974,1257324,1282570,1904700,0.042927678148194
4,Miyagi,5,2009,68864,1257324,1282570,1904700,0.054770289917317
4,Miyagi,4,2009,76138,1257324,1282570,1904700,0.06055559267142
4,Miyagi,3,2009,139124,1257324,1282570,1904700,0.110650874396735
4,Miyagi,1,2009,334269,1257324,1282570,1904700,0.265857487807439
4,Miyagi,2,2009,577044,1257324,1282570,1904700,0.458946142760339
45,Miyazaki,98,2009,3660,631127,645562,934523,0.005799149774926
45,Miyazaki,20,2009,11226,631127,645562,934523,0.017787228244078
45,Miyazaki,24,2009,21043,631127,645562,934523,0.033341942271524
45,Miyazaki,4,2009,26686,631127,645562,934523,0.042283090408111
45,Miyazaki,5,2009,50852,631127,645562,934523,0.080573323594142
45,Miyazaki,3,2009,105490,631127,645562,934523,0.167145439824314
45,Miyazaki,1,2009,193411,631127,645562,934523,0.30645337626183
45,Miyazaki,2,2009,218759,631127,645562,934523,0.346616449621075
20,Nagano,98,2009,8970,1299971,1331824,1760336,0.006900153926511
20,Nagano,21,2009,40370,1299971,1331824,1760336,0.031054538908945
20,Nagano,20,2009,41743,1299971,1331824,1760336,0.032110716315979
20,Nagano,5,2009,75180,1299971,1331824,1760336,0.057832059330554
20,Nagano,3,2009,111569,1299971,1331824,1760336,0.08582422223265
20,Nagano,4,2009,122440,1299971,1331824,1760336,0.094186716472906
20,Nagano,1,2009,292715,1299971,1331824,1760336,0.225170407647555
20,Nagano,2,2009,606984,1299971,1331824,1760336,0.4669211851649
42,Nagasaki,98,2009,4911,820286,841539,1179574,0.005986936263693
42,Nagasaki,20,2009,15808,820286,841539,1179574,0.019271327317545
42,Nagasaki,24,2009,25611,820286,841539,1179574,0.031222037191906
42,Nagasaki,4,2009,34676,820286,841539,1179574,0.042273060859261
42,Nagasaki,5,2009,38198,820286,841539,1179574,0.046566685278062
42,Nagasaki,3,2009,124952,820286,841539,1179574,0.152327358994302
42,Nagasaki,1,2009,237460,820286,841539,1179574,0.289484399343644
42,Nagasaki,2,2009,338670,820286,841539,1179574,0.412868194751587
29,Nara,98,2009,8001,800897,825027,1154425,0.009990048657942
29,Nara,21,2009,8135,800897,825027,1154425,0.010157361058913
29,Nara,20,2009,11730,800897,825027,1154425,0.014646078084947
29,Nara,5,2009,30696,800897,825027,1154425,0.038327025822297
29,Nara,24,2009,32038,800897,825027,1154425,0.040002647032015
29,Nara,4,2009,62205,800897,825027,1154425,0.077669163450481
29,Nara,3,2009,84958,800897,825027,1154425,0.106078559415256
29,Nara,1,2009,213092,800897,825027,1154425,0.266066672743187
29,Nara,2,2009,350042,800897,825027,1154425,0.437062443734962
15,Niigata,98,2009,9613,1408675,1446463,1970824,0.006824143255187
15,Niigata,21,2009,17234,1408675,1446463,1970824,0.012234191704971
15,Niigata,20,2009,46969,1408675,1446463,1970824,0.033342680178182
15,Niigata,4,2009,79521,1408675,1446463,1970824,0.05645092019096
15,Niigata,5,2009,80234,1408675,1446463,1970824,0.056957069586668
15,Niigata,3,2009,91251,1408675,1446463,1970824,0.064777894120361
15,Niigata,1,2009,397560,1408675,1446463,1970824,0.282222656042025
15,Niigata,2,2009,686293,1408675,1446463,1970824,0.487190444921646
44,Oita,98,2009,4845,688093,714093,991506,0.007041199372759
44,Oita,20,2009,12691,688093,714093,991506,0.018443727810049
44,Oita,24,2009,24301,688093,714093,991506,0.035316447050035
44,Oita,4,2009,33633,688093,714093,991506,0.048878567286689
44,Oita,5,2009,87131,688093,714093,991506,0.126626778647654
44,Oita,3,2009,87879,688093,714093,991506,0.127713841006957
44,Oita,1,2009,197643,688093,714093,991506,0.287232975775077
44,Oita,2,2009,239970,688093,714093,991506,0.348746463050779
33,Okayama,98,2009,7917,1053761,1081567,1577681,0.007513088831338
33,Okayama,20,2009,31598,1053761,1081567,1577681,0.029985926600055
33,Okayama,5,2009,32525,1053761,1081567,1577681,0.030865632719374
33,Okayama,4,2009,65762,1053761,1081567,1577681,0.062406940473219
33,Okayama,3,2009,145701,1053761,1081567,1577681,0.138267595783105
33,Okayama,1,2009,323936,1053761,1081567,1577681,0.307409365121693
33,Okayama,2,2009,446322,1053761,1081567,1577681,0.423551450471217
47,Okinawa,98,2009,6175,669841,692007,1066701,0.009218605609391
47,Okinawa,20,2009,18972,669841,692007,1066701,0.028323139371881
47,Okinawa,24,2009,20473,669841,692007,1066701,0.030563969658471
47,Okinawa,4,2009,53603,669841,692007,1066701,0.0800234682559
47,Okinawa,5,2009,74006,669841,692007,1066701,0.110482935502604
47,Okinawa,1,2009,118365,669841,692007,1066701,0.176706113838956
47,Okinawa,3,2009,120095,669841,692007,1066701,0.179288816301182
47,Okinawa,2,2009,258152,669841,692007,1066701,0.385392951461616
27,Osaka,21,2009,52398,4636015,4728812,7082281,0.011302379306366
27,Osaka,20,2009,60137,4636015,4728812,7082281,0.012971700911235
27,Osaka,98,2009,68884,4636015,4728812,7082281,0.014858450630552
27,Osaka,5,2009,150663,4636015,4728812,7082281,0.032498384927573
27,Osaka,24,2009,205421,4636015,4728812,7082281,0.044309822120938
27,Osaka,4,2009,468144,4636015,4728812,7082281,0.100979828581228
27,Osaka,3,2009,704839,4636015,4728812,7082281,0.152035530514893
27,Osaka,1,2009,994098,4636015,4728812,7082281,0.214429418369009
27,Osaka,2,2009,1931431,4636015,4728812,7082281,0.416614484638208
41,Saga,98,2009,3590,498803,510844,688948,0.007197230169025
41,Saga,20,2009,7980,498803,510844,688948,0.015998299930033
41,Saga,24,2009,19697,498803,510844,688948,0.039488535554117
41,Saga,4,2009,19745,498803,510844,688948,0.039584765929636
41,Saga,5,2009,23039,498803,510844,688948,0.046188575449626
41,Saga,3,2009,60386,498803,510844,688948,0.121061822001872
41,Saga,1,2009,161683,498803,510844,688948,0.324141995938276
41,Saga,2,2009,202683,498803,510844,688948,0.406338775027416
11,Saitama,98,2009,20806,3773024,3836897,5791895,0.005514409661852
11,Saitama,21,2009,42675,3773024,3836897,5791895,0.011310556201074
11,Saitama,20,2009,52964,3773024,3836897,5791895,0.014037546540918
11,Saitama,5,2009,145528,3773024,3836897,5791895,0.038570653141883
11,Saitama,24,2009,224052,3773024,3836897,5791895,0.05938260663065
11,Saitama,4,2009,301310,3773024,3836897,5791895,0.079859020244769
11,Saitama,3,2009,453356,3773024,3836897,5791895,0.120157200166233
11,Saitama,1,2009,889870,3773024,3836897,5791895,0.2358506068342
11,Saitama,2,2009,1642463,3773024,3836897,5791895,0.435317400578422
25,Shiga,21,2009,6549,762794,777636,1100847,0.008585542099178
25,Shiga,98,2009,9131,762794,777636,1100847,0.011970466469322
25,Shiga,20,2009,11306,762794,777636,1100847,0.014821826076241
25,Shiga,5,2009,27105,762794,777636,1100847,0.035533840066912
25,Shiga,24,2009,30868,762794,777636,1100847,0.040467019929365
25,Shiga,3,2009,59471,762794,777636,1100847,0.077964692957732
25,Shiga,4,2009,67402,762794,777636,1100847,0.088361995505995
25,Shiga,1,2009,210628,762794,777636,1100847,0.276126975303948
25,Shiga,2,2009,340334,762794,777636,1100847,0.446167641591308
32,Shimane,98,2009,2954,454173,466381,595321,0.006504129483699
32,Shimane,5,2009,17243,454173,466381,595321,0.037965709102038
32,Shimane,4,2009,25850,454173,466381,595321,0.056916637492762
32,Shimane,20,2009,46063,454173,466381,595321,0.101421704945032
32,Shimane,3,2009,52780,454173,466381,595321,0.116211223476517
32,Shimane,2,2009,138007,454173,466381,595321,0.30386438647828
32,Shimane,1,2009,171276,454173,466381,595321,0.377116209021672
22,Shizuoka,98,2009,12536,2123560,2177937,3076497,0.005903294467781
22,Shizuoka,21,2009,15726,2123560,2177937,3076497,0.007405488896005
22,Shizuoka,20,2009,28919,2123560,2177937,3076497,0.013618169488971
22,Shizuoka,5,2009,70356,2123560,2177937,3076497,0.033131157113526
22,Shizuoka,4,2009,116496,2123560,2177937,3076497,0.054858821978188
22,Shizuoka,24,2009,134030,2123560,2177937,3076497,0.063115711352634
22,Shizuoka,3,2009,220810,2123560,2177937,3076497,0.103981050688467
22,Shizuoka,1,2009,591108,2123560,2177937,3076497,0.278357098457308
22,Shizuoka,2,2009,933579,2123560,2177937,3076497,0.439629207557121
9,Tochigi,21,2009,4994,1073651,1097207,1629543,0.004651418384559
9,Tochigi,98,2009,5925,1073651,1097207,1629543,0.005518553049361
9,Tochigi,20,2009,10161,1073651,1097207,1629543,0.009463969204145
9,Tochigi,5,2009,24579,1073651,1097207,1629543,0.022892913991604
9,Tochigi,4,2009,33896,1073651,1097207,1629543,0.03157078044914
9,Tochigi,3,2009,98287,1073651,1097207,1629543,0.09154464532702
9,Tochigi,24,2009,223986,1073651,1097207,1629543,0.208620864694393
9,Tochigi,1,2009,257297,1073651,1097207,1629543,0.239646775348787
9,Tochigi,2,2009,414526,1073651,1097207,1629543,0.38609007955099
36,Tokushima,98,2009,4934,447555,462763,660385,0.011024343376792
36,Tokushima,5,2009,11759,447555,462763,660385,0.026273865781859
36,Tokushima,4,2009,29618,447555,462763,660385,0.06617734133235
36,Tokushima,3,2009,52541,447555,462763,660385,0.117395627353063
36,Tokushima,1,2009,141081,447555,462763,660385,0.315226061601367
36,Tokushima,2,2009,207622,447555,462763,660385,0.463902760554569
13,Tokyo,98,2009,35667,6927467,7034087,10601391,0.005148635136046
13,Tokyo,20,2009,86046,6927467,7034087,10601391,0.012420990240733
13,Tokyo,21,2009,100381,6927467,7034087,10601391,0.014490289163413
13,Tokyo,5,2009,299032,6927467,7034087,10601391,0.043166138503439
13,Tokyo,24,2009,419903,6927467,7034087,10601391,0.060614218732475
13,Tokyo,4,2009,665462,6927467,7034087,10601391,0.096061374236788
13,Tokyo,3,2009,717199,6927467,7034087,10601391,0.10352976058926
13,Tokyo,1,2009,1764696,6927467,7034087,10601391,0.254738997674042
13,Tokyo,2,2009,2839081,6927467,7034087,10601391,0.409829595723805
31,Tottori,98,2009,3049,355368,366476,486870,0.008579838364737
31,Tottori,20,2009,11344,355368,366476,486870,0.031921838769951
31,Tottori,5,2009,12968,355368,366476,486870,0.036491749397807
31,Tottori,4,2009,20501,355368,366476,486870,0.057689493707931
31,Tottori,3,2009,52023,355368,366476,486870,0.14639190923212
31,Tottori,1,2009,117168,355368,366476,486870,0.329708921456068
31,Tottori,2,2009,138315,355368,366476,486870,0.389216249071385
16,Toyama,98,2009,4522,648299,667283,905002,0.006975176577474
16,Toyama,21,2009,6011,648299,667283,905002,0.009271956304113
16,Toyama,4,2009,23196,648299,667283,905002,0.035779786795907
16,Toyama,3,2009,38974,648299,667283,905002,0.060117322408333
16,Toyama,5,2009,39179,648299,667283,905002,0.060433534526507
16,Toyama,20,2009,107042,648299,667283,905002,0.165112085627157
16,Toyama,2,2009,214062,648299,667283,905002,0.33019023629529
